"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"RUS","CPI","TOT","AGRWTH","A","2000",20.79877,
"RUS","CPI","TOT","AGRWTH","A","2001",21.47701,
"RUS","CPI","TOT","AGRWTH","A","2002",15.78873,
"RUS","CPI","TOT","AGRWTH","A","2003",13.66329,
"RUS","CPI","TOT","AGRWTH","A","2004",10.88861,
"RUS","CPI","TOT","AGRWTH","A","2005",12.68531,
"RUS","CPI","TOT","AGRWTH","A","2006",9.668655,
"RUS","CPI","TOT","AGRWTH","A","2007",9.007296,
"RUS","CPI","TOT","AGRWTH","A","2008",14.11077,
"RUS","CPI","TOT","AGRWTH","A","2009",11.64733,
"RUS","CPI","TOT","AGRWTH","A","2010",6.849392,
"RUS","CPI","TOT","AGRWTH","A","2011",8.440471,
"RUS","CPI","TOT","AGRWTH","A","2012",5.074733,
"RUS","CPI","TOT","AGRWTH","A","2013",6.753717,
"RUS","CPI","TOT","AGRWTH","A","2014",7.823416,
"RUS","CPI","TOT","AGRWTH","A","2015",15.5344,
"RUS","CPI","TOT","AGRWTH","A","2016",7.042436,
"RUS","CPI","TOT","AGRWTH","A","2017",3.683334,
"RUS","CPI","TOT","AGRWTH","A","2018",2.878305,
"RUS","CPI","TOT","AGRWTH","A","2019",4.470367,
"RUS","CPI","TOT","AGRWTH","A","2020",3.38166,
